null;null;null;null;
1;LD1M / 00011781 / 2;393;0,1400 HA;
2;LD1M / 00011782 / 9;333;0,1400 HA;
3;LD1M / 00011783 / 6;334;0,1400;
4;LD1M / 00011784 / 3;335;0,1384 HA;
5;LD1M / 00012733 / 8;171819202122;0,3013 HA;
6;LD1M / 00012776 / 1;BRAK;0,3000 HA;
7;LD1M / 00012777 / 8;BRAK;0,4508 HA;
8;LD1M / 00012778 / 5;185237409/1410/1;3,5679 HA;
9;LD1M / 00012779 / 2;8;0,1100 HA;
10;LD1M / 00012780 / 2;9;0,1000 HA;
11;LD1M / 00013949 / 2;4 A;0,2756 HA;
12;LD1M / 00013950 / 2;13;0,0750 HA;
13;LD1M / 00013965 / 0;11;0,1487 HA;
14;LD1M / 00013967 / 4;63366/5;0,8879 HA;
15;LD1M / 00014755 / 2;14;0,1269 HA;
16;LD1M / 00015161 / 8;BRAK;0,1879 HA;
17;LD1M / 00015162 / 5;311/3;0,0948 HA;
18;LD1M / 00015741 / 8;259;0,2070 HA;
19;LD1M / 00015846 / 4;9;0,0888 HA;
20;LD1M / 00015848 / 8;361/2;0,1050 HA;
21;LD1M / 00016432 / 6;258;0,0810 HA;
22;LD1M / 00016952 / 7;---101/2125;1,8138 HA;
23;LD1M / 00017050 / 1;322/9;0,2913;
24;LD1M / 00017069 / 7;3/1;0,2136 HA;
25;LD1M / 00017669 / 3;309;---;
26;LD1M / 00017807 / 3;---;0,1400 HA;
27;LD1M / 00017808 / 0;292/2;0,3534 HA;
28;LD1M / 00018331 / 2;320/3320/7320/8;0,1200 HA;
29;LD1M / 00018332 / 9;289/4289/5319/3;0,2168 HA;
30;LD1M / 00018333 / 6;294/2;0,2695;
31;LD1M / 00018695 / 1;---;0,1183 HA;
32;LD1M / 00018697 / 5;204;0,0661 HA;
33;LD1M / 00019352 / 2;381;0,1000 HA;
34;LD1M / 00019353 / 9;7;0,0426 HA;
35;LD1M / 00019354 / 6;383;0,1200 HA;
36;LD1M / 00019356 / 0;371/1;0,0689 HA;
37;LD1M / 00019357 / 7;387;0,1421 HA;
38;LD1M / 00019358 / 4;14;0,1147 HA;
39;LD1M / 00019359 / 1;369;0,0564 HA;
40;LD1M / 00019361 / 8;9;0,0520 HA;
41;LD1M / 00019387 / 6;330/2337/7;0,0898 HA;
42;LD1M / 00019388 / 3;1;0,0777 HA;
43;LD1M / 00019389 / 0;5;0,0753 HA;
